episodes,time_step,history_queue_length,send_fail,calculated_reward
0,50,12,0,-2.9
0,100,12,3,-22.316666666666666
0,150,14,1,-9.343333333333334
0,200,6,3,-35.26111111111111
0,250,14,1,-9.343333333333334
0,300,11,1,-10.979166666666666
0,350,10,1,-11.754545454545456
0,400,9,8,-48.56470588235294
0,450,14,1,-9.366666666666667
0,500,10,2,-19.054166666666667
0,550,10,3,-25.303846153846152
0,600,8,2,-22.3
0,650,4,3,-44.464285714285715
0,700,13,3,-21.115625
0,750,16,2,-13.630555555555555
0,800,13,1,-9.814285714285715
0,850,9,2,-20.568181818181817
0,900,10,3,-25.33076923076923
0,950,12,2,-16.696428571428573
0,1000,9,1,-12.605
0,1050,7,4,-38.25909090909091
0,1100,15,0,-2.86
0,1150,14,0,-2.8857142857142857
0,1200,9,3,-27.191666666666666
0,1250,15,2,-14.273529411764706
0,1300,18,2,-12.5375
0,1350,15,1,-8.925
0,1400,6,3,-35.31666666666667
0,1450,9,4,-32.792307692307695
0,1500,10,4,-30.625
0,1550,10,1,-11.713636363636363
0,1600,7,6,-47.723076923076924
0,1650,12,0,-2.904166666666667
0,1700,9,4,-32.77307692307692
0,1750,12,3,-22.276666666666664
0,1800,9,2,-20.54090909090909
0,1850,10,2,-19.099999999999998
0,1900,20,1,-7.440476190476191
0,1950,12,3,-22.283333333333335
0,2000,8,5,-40.25769230769231
1,50,13,0,-2.8499999999999996
1,100,14,3,-19.988235294117647
1,150,10,1,-11.690909090909093
1,200,12,1,-10.338461538461539
1,250,9,3,-27.15416666666667
1,300,12,1,-10.346153846153847
1,350,12,0,-2.866666666666667
1,400,14,3,-19.99705882352941
1,450,12,1,-10.350000000000001
1,500,16,2,-13.63888888888889
1,550,8,1,-13.766666666666667
1,600,15,3,-19.038888888888888
1,650,10,3,-25.31153846153846
1,700,17,1,-8.225000000000001
1,750,14,2,-14.965625000000001
1,800,17,0,-2.838235294117647
1,850,9,4,-32.79615384615385
1,900,12,3,-22.279999999999998
1,950,7,3,-32.025
1,1000,17,1,-8.238888888888889
1,1050,10,2,-19.087500000000002
1,1100,9,3,-27.15416666666667
1,1150,12,2,-16.77857142857143
1,1200,11,6,-37.13823529411765
1,1250,12,3,-22.236666666666668
1,1300,15,2,-14.279411764705882
1,1350,11,2,-17.842307692307692
1,1400,16,2,-13.616666666666667
1,1450,15,1,-8.9
1,1500,13,2,-15.8
1,1550,8,4,-35.3125
1,1600,14,0,-2.875
1,1650,9,3,-27.204166666666666
1,1700,12,4,-27.15
1,1750,9,2,-20.54090909090909
1,1800,14,2,-14.98125
1,1850,16,1,-8.552941176470588
1,1900,15,1,-8.940625
1,1950,12,4,-27.146875
1,2000,10,2,-19.095833333333335
2,50,8,3,-29.40909090909091
2,100,7,3,-32.035000000000004
2,150,11,6,-37.15588235294118
2,200,12,2,-16.75357142857143
2,250,10,2,-19.066666666666666
2,300,11,2,-17.796153846153846
2,350,6,3,-35.22777777777778
2,400,12,2,-16.739285714285714
2,450,14,0,-2.882142857142857
2,500,10,1,-11.75
2,550,11,2,-17.81923076923077
2,600,13,4,-25.72941176470588
2,650,12,2,-16.725
2,700,13,2,-15.82
2,750,15,1,-8.915625
2,800,18,1,-7.942105263157895
2,850,17,0,-2.847058823529412
2,900,14,1,-9.323333333333332
2,950,11,1,-10.987499999999999
2,1000,6,3,-35.30555555555556
2,1050,13,1,-9.821428571428571
2,1100,13,0,-2.8846153846153846
2,1150,15,2,-14.299999999999999
2,1200,11,1,-10.995833333333332
2,1250,10,3,-25.26153846153846
2,1300,9,3,-27.175
2,1350,16,1,-8.56764705882353
2,1400,9,2,-20.59090909090909
2,1450,8,1,-13.68888888888889
2,1500,13,5,-29.825000000000003
2,1550,12,4,-27.165625
2,1600,12,5,-31.435294117647057
2,1650,10,3,-25.315384615384616
2,1700,12,5,-31.420588235294115
2,1750,12,1,-10.350000000000001
2,1800,13,2,-15.796666666666665
2,1850,12,1,-10.392307692307693
2,1900,15,1,-8.921875
2,1950,15,0,-2.87
2,2000,17,1,-8.197222222222223
3,50,11,2,-17.83076923076923
3,100,8,2,-22.369999999999997
3,150,7,3,-32.075
3,200,15,2,-14.285294117647059
3,250,9,3,-27.195833333333336
3,300,9,2,-20.518181818181816
3,350,12,1,-10.36923076923077
3,400,15,0,-2.846666666666667
3,450,12,2,-16.760714285714286
3,500,14,0,-2.8928571428571423
3,550,11,4,-28.759999999999998
3,600,13,0,-2.869230769230769
3,650,13,2,-15.816666666666666
3,700,11,2,-17.846153846153847
3,750,9,2,-20.563636363636363
3,800,15,0,-2.8699999999999997
3,850,12,3,-22.283333333333335
3,900,15,0,-2.876666666666667
3,950,9,3,-27.15416666666667
3,1000,14,1,-9.326666666666666
3,1050,10,1,-11.713636363636363
3,1100,12,3,-22.293333333333333
3,1150,12,3,-22.273333333333333
3,1200,13,1,-9.828571428571431
3,1250,14,3,-19.976470588235294
3,1300,12,2,-16.760714285714286
3,1350,12,0,-2.8958333333333335
3,1400,14,0,-2.8785714285714286
3,1450,9,4,-32.78846153846154
3,1500,9,2,-20.536363636363635
3,1550,15,0,-2.8433333333333337
3,1600,12,7,-38.66052631578947
3,1650,12,2,-16.74642857142857
3,1700,13,3,-21.071875
3,1750,9,1,-12.635
3,1800,8,4,-35.237500000000004
3,1850,12,0,-2.9125
3,1900,10,5,-35.230000000000004
3,1950,13,1,-9.796428571428573
3,2000,15,1,-8.959375
4,50,14,1,-9.336666666666668
4,100,13,1,-9.785714285714286
4,150,13,4,-25.694117647058825
4,200,10,4,-30.63214285714286
4,250,19,0,-2.8368421052631576
4,300,8,0,-2.9250000000000003
4,350,13,2,-15.81
4,400,12,2,-16.739285714285717
4,450,16,3,-18.181578947368422
4,500,14,1,-9.316666666666666
4,550,14,1,-9.336666666666668
4,600,9,3,-27.15416666666667
4,650,9,2,-20.572727272727274
4,700,11,2,-17.83076923076923
4,750,12,1,-10.346153846153847
4,800,12,0,-2.8833333333333333
4,850,11,6,-37.15294117647059
4,900,14,2,-14.984375
4,950,10,4,-30.61785714285714
4,1000,13,2,-15.816666666666666
4,1050,14,2,-15.0
4,1100,16,0,-2.85625
4,1150,15,1,-8.915625
4,1200,15,2,-14.258823529411766
4,1250,10,3,-25.25769230769231
4,1300,14,1,-9.343333333333332
4,1350,14,3,-20.014705882352942
4,1400,17,1,-8.233333333333333
4,1450,10,3,-25.28846153846154
4,1500,12,3,-22.259999999999998
4,1550,9,2,-20.55
4,1600,22,0,-2.815909090909091
4,1650,15,1,-8.928125
4,1700,6,3,-35.3
4,1750,14,1,-9.343333333333334
4,1800,17,0,-2.855882352941176
4,1850,15,3,-19.044444444444444
4,1900,10,1,-11.695454545454545
4,1950,11,6,-37.13823529411765
4,2000,10,1,-11.704545454545455
5,50,15,0,-2.8666666666666667
5,100,6,6,-51.479166666666664
5,150,14,3,-19.976470588235294
5,200,14,1,-9.35
5,250,14,1,-9.34
5,300,11,1,-10.975
5,350,10,4,-30.642857142857142
5,400,11,2,-17.838461538461537
5,450,7,1,-15.125
5,500,10,4,-30.650000000000002
5,550,7,7,-51.45357142857143
5,600,16,2,-13.625
5,650,11,1,-10.983333333333334
5,700,12,3,-22.3
5,750,12,0,-2.8708333333333336
5,800,14,4,-24.433333333333334
5,850,11,4,-28.779999999999998
5,900,12,3,-22.273333333333333
5,950,6,4,-41.769999999999996
5,1000,19,1,-7.6875
5,1050,16,3,-18.17105263157895
5,1100,13,1,-9.807142857142859
5,1150,11,4,-28.773333333333333
5,1200,11,2,-17.815384615384616
5,1250,15,2,-14.294117647058824
5,1300,12,1,-10.330769230769231
5,1350,12,1,-10.373076923076924
5,1400,13,3,-21.09375
5,1450,9,4,-32.77307692307692
5,1500,7,3,-32.05
5,1550,10,2,-19.079166666666666
5,1600,12,2,-16.710714285714285
5,1650,12,6,-35.25
5,1700,10,2,-19.099999999999998
5,1750,12,2,-16.735714285714288
5,1800,17,1,-8.227777777777778
5,1850,14,0,-2.8714285714285714
5,1900,9,1,-12.6
5,1950,8,3,-29.40909090909091
5,2000,13,3,-21.071875
6,50,17,0,-2.844117647058823
6,100,9,1,-12.67
6,150,9,4,-32.75
6,200,11,0,-2.9272727272727277
6,250,17,1,-8.219444444444443
6,300,8,3,-29.386363636363637
6,350,14,1,-9.340000000000002
6,400,8,1,-13.716666666666667
6,450,10,7,-42.83235294117647
6,500,12,2,-16.79285714285714
6,550,13,1,-9.814285714285715
6,600,11,1,-10.958333333333334
6,650,12,5,-31.441176470588236
6,700,13,2,-15.846666666666666
6,750,12,2,-16.696428571428573
6,800,10,1,-11.740909090909092
6,850,14,5,-28.384210526315787
6,900,8,3,-29.372727272727275
6,950,14,3,-20.01764705882353
6,1000,13,0,-2.884615384615385
6,1050,13,0,-2.880769230769231
6,1100,19,1,-7.68
6,1150,8,2,-22.34
6,1200,15,1,-8.925
6,1250,12,1,-10.346153846153847
6,1300,11,5,-33.228125
6,1350,14,6,-31.9925
6,1400,11,4,-28.776666666666664
6,1450,6,5,-47.06818181818182
6,1500,12,2,-16.75
6,1550,15,1,-8.915625
6,1600,13,3,-21.06875
6,1650,8,2,-22.31
6,1700,7,5,-43.375
6,1750,12,1,-10.36153846153846
6,1800,10,3,-25.315384615384616
6,1850,10,1,-11.754545454545456
6,1900,13,4,-25.71764705882353
6,1950,15,0,-2.8633333333333337
6,2000,12,3,-22.283333333333335
7,50,14,0,-2.8750000000000004
7,100,10,2,-19.083333333333332
7,150,14,2,-14.990625
7,200,15,0,-2.8666666666666667
7,250,13,1,-9.817857142857141
7,300,10,0,-2.9600000000000004
7,350,15,2,-14.282352941176471
7,400,9,6,-41.70333333333333
7,450,11,2,-17.826923076923077
7,500,8,1,-13.722222222222221
7,550,16,2,-13.652777777777779
7,600,11,4,-28.776666666666664
7,650,11,7,-40.638888888888886
7,700,14,0,-2.8607142857142853
7,750,7,5,-43.36666666666667
7,800,11,1,-10.987499999999999
7,850,12,2,-16.732142857142858
7,900,17,1,-8.230555555555556
7,950,12,3,-22.27
7,1000,14,2,-14.9875
7,1050,13,3,-21.075
7,1100,10,1,-11.704545454545455
7,1150,14,1,-9.326666666666666
7,1200,16,0,-2.8499999999999996
7,1250,13,1,-9.807142857142859
7,1300,15,1,-8.909375
7,1350,11,2,-17.857692307692307
7,1400,12,7,-38.61578947368421
7,1450,14,0,-2.889285714285714
7,1500,20,1,-7.442857142857143
7,1550,11,2,-17.83076923076923
7,1600,12,1,-10.338461538461539
7,1650,17,1,-8.227777777777778
7,1700,14,0,-2.8642857142857148
7,1750,7,4,-38.22727272727273
7,1800,19,1,-7.685
7,1850,4,3,-44.457142857142856
7,1900,16,1,-8.597058823529412
7,1950,12,1,-10.323076923076922
7,2000,7,6,-47.73846153846154
8,50,17,1,-8.216666666666667
8,100,16,3,-18.16842105263158
8,150,14,0,-2.8785714285714286
8,200,16,2,-13.616666666666667
8,250,9,3,-27.166666666666668
8,300,15,2,-14.288235294117648
8,350,11,0,-2.8954545454545455
8,400,16,0,-2.875
8,450,11,1,-10.970833333333333
8,500,11,2,-17.81153846153846
8,550,10,3,-25.292307692307695
8,600,15,4,-23.29736842105263
8,650,8,1,-13.72777777777778
8,700,13,1,-9.825000000000001
8,750,9,1,-12.64
8,800,8,4,-35.266666666666666
8,850,11,3,-23.678571428571427
8,900,11,2,-17.8
8,950,11,0,-2.9545454545454546
8,1000,15,1,-8.934375000000001
8,1050,16,1,-8.558823529411764
8,1100,12,5,-31.43823529411765
8,1150,12,2,-16.710714285714285
8,1200,14,1,-9.343333333333334
8,1250,13,2,-15.796666666666665
8,1300,12,0,-2.9000000000000004
8,1350,11,3,-23.692857142857143
8,1400,16,2,-13.647222222222222
8,1450,13,1,-9.803571428571429
8,1500,8,5,-40.24230769230769
8,1550,14,1,-9.33
8,1600,12,2,-16.74642857142857
8,1650,13,1,-9.796428571428573
8,1700,15,1,-8.93125
8,1750,12,2,-16.742857142857144
8,1800,14,1,-9.333333333333334
8,1850,14,2,-15.0
8,1900,17,0,-2.8500000000000005
8,1950,9,0,-2.938888888888889
8,2000,13,5,-29.83888888888889
9,50,16,2,-13.636111111111111
9,100,8,3,-29.35
9,150,9,2,-20.55909090909091
9,200,12,7,-38.65
9,250,10,4,-30.639285714285712
9,300,8,2,-22.34
9,350,9,3,-27.2
9,400,13,3,-21.065625
9,450,10,4,-30.65357142857143
9,500,15,3,-19.025
9,550,12,3,-22.296666666666667
9,600,13,3,-21.090625
9,650,15,1,-8.93125
9,700,10,2,-19.075
9,750,17,1,-8.23611111111111
9,800,10,0,-2.935
9,850,15,2,-14.288235294117648
9,900,11,3,-23.657142857142855
9,950,10,3,-25.265384615384615
9,1000,17,1,-8.238888888888889
9,1050,13,0,-2.838461538461538
9,1100,15,1,-8.93125
9,1150,16,0,-2.859375
9,1200,12,2,-16.74642857142857
9,1250,11,1,-11.0
9,1300,13,3,-21.059375
9,1350,15,3,-19.041666666666668
9,1400,9,3,-27.170833333333334
9,1450,12,3,-22.303333333333335
9,1500,12,3,-22.296666666666667
9,1550,8,4,-35.24166666666667
9,1600,13,0,-2.8730769230769235
9,1650,13,3,-21.0875
9,1700,12,1,-10.326923076923077
9,1750,10,2,-19.116666666666667
9,1800,14,4,-24.438888888888886
9,1850,15,1,-8.928125
9,1900,12,2,-16.732142857142858
9,1950,13,2,-15.793333333333333
9,2000,17,0,-2.8441176470588236
10,50,10,2,-19.075
10,100,11,4,-28.80666666666667
10,150,9,4,-32.78076923076923
10,200,15,0,-2.866666666666667
10,250,15,1,-8.9375
10,300,8,1,-13.705555555555556
10,350,12,4,-27.18125
10,400,13,1,-9.814285714285715
10,450,11,1,-10.987499999999999
10,500,11,3,-23.675
10,550,15,0,-2.8866666666666663
10,600,10,1,-11.736363636363636
10,650,11,1,-11.008333333333335
10,700,13,1,-9.796428571428573
10,750,10,2,-19.025000000000002
10,800,8,2,-22.355
10,850,13,2,-15.826666666666666
10,900,10,3,-25.25769230769231
10,950,14,0,-2.8678571428571433
10,1000,12,5,-31.45
10,1050,10,5,-35.276666666666664
10,1100,11,1,-10.995833333333332
10,1150,15,3,-19.016666666666666
10,1200,16,0,-2.859375
10,1250,9,3,-27.195833333333336
10,1300,22,0,-2.815909090909091
10,1350,12,2,-16.735714285714288
10,1400,15,1,-8.928125
10,1450,18,2,-12.557500000000001
10,1500,16,0,-2.8531249999999995
10,1550,11,0,-2.9136363636363636
10,1600,18,0,-2.8472222222222223
10,1650,12,8,-41.69
10,1700,20,0,-2.8049999999999997
10,1750,7,4,-38.28181818181818
10,1800,9,3,-27.15833333333333
10,1850,16,2,-13.66111111111111
10,1900,16,0,-2.85625
10,1950,15,3,-19.0
10,2000,13,1,-9.821428571428571
11,50,11,2,-17.834615384615383
11,100,15,0,-2.886666666666667
11,150,12,2,-16.742857142857144
11,200,10,5,-35.263333333333335
11,250,9,4,-32.784615384615385
11,300,10,5,-35.263333333333335
11,350,13,0,-2.9000000000000004
11,400,9,4,-32.76538461538461
11,450,14,2,-15.0
11,500,14,2,-14.996875000000001
11,550,12,2,-16.767857142857142
11,600,11,3,-23.696428571428573
